iddemandaseguimiento,iddemandapto,fechasegdem,estado,fuente,referenciafuente,datoscontacto,seguimiento,observaciones
13,21,2024-06-26T04:00:00.000Z,EN PROCESO,Pagina7,Prensa,www.paginax.bo,Se ha llegado a un acuerdo,se genera el acuerdo entre las comunidades
14,80,1899-11-30T04:32:36.000Z,CONCLUIDO,ACTADE REUNION,https://drive.google.com/drive/folders/1VFg0ZMMxi0NpEzxHUCeWrxmiIdYDndcA?usp=drive_link,,"SE ESTA REALIZANDO LA COORDINACION CON EL MUNICIPIO.
SE PRIORIZO EL PROYECTO Y ESTA SIENDO INCORPORADO A UN NUEVO PROGRAMA INTEGRAL PARA LA PRODUCCION DE CULTIVO DE PAPA, SE ESTA TRABAJANDO EN LAS GESTIONES DEL PROGRAMA.",
15,82,2026-06-15T04:00:00.000Z,CONCLUIDO,SE RESOLVIO A TRAVES DE LOS PUNTOS MOVILES Y BAJA DE PRECIO MMEDIANTE FINANCIAMIENTO,SE ADJUNTA FOTOGRAFIAS DE ACCIONES REALIZADAS,"VICEMINISTRO GUSTAVO SERRANO, Y DIRIGENTES DE FEJUVE DE 16 DISTRITOS",SE ATENDIO LA DEMANDA,LA DEMANDA FUE REALIZADA DE MANERA VERBAL SIN FOTOGRAFIA NI ACTAS POR CUESTIONES POLÍTICAS
17,34,2026-09-15T04:00:00.000Z,EN PROCESO,NOTA DE RESPUESTA Y RESUMEN DE ACTAS DE REUNIÓN,NOTA DE RESPUESTA Y RESUMEN DE ACTAS DE REUNIÓN,Ivan Beltran Mamani	UISIP / DGAPAS 73421547 Francisco Córdova Mamani	Pto. Carmen	68059076 Eyner Yampasi Apaza	Pto. Carmen	61526222 Marcelino Huanca Mamani	Ejecutivo FAECIOAB ÁREA 5	67166615,"EN FECHA 29 DE JUNIO DE 2026 MEDIANTE NOTA CAR/MDPRyA/VRHRAPySB/DGAPyAS/UAR N° 0434/2026 SE DIO RESPUESTA AL VOTO RESOLUTIVO - PUNTOS 9 Y 10, DONDE SE EXPLICA EL PROCEDIMIENTO DE PRESENTACIÓN DE ITCPs Y EDTPs, PARA DAR CURSO A LA SOLICITUD DE PROYECTOS EN SU MUNICIPIO.
EN TAL SENTIDO, SE SOSTUVO UNA REUNIÓN CON EL MUNICIPIO DE PALOS BLANCOS EN FECHAS 07 DE JULIO DE 2026,  DONDE SE BRINDÓ UN INFORME DETALLADO SOBRE EL ESTADO DEL PROYECTO DESTINADO AL MUNICIPIO PALOS BLANCOS, ESTABLECIÉNDOSE LOS SIGUIENTES PUNTOS: EL PROYECTO “CONSTRUCCIÓN SISTEMA DE AGUA POTABLE PUERTO CARMEN – PALOS BLANCOS” CUMPLE CON LA NORMATIVA SECTORIAL VIGENTE, LA MISMA NO CUENTA CON PROGRAMA DE FINANCIAMIENTO.
EN FECHA 13 DE JULIO DE 2026 SE SOSTUVO UNA REUNIÓN EN LA CASA GRANDE DEL PUEBLO DONDE PARTICIPÓ EL MUNICIPIO DE PALOS BLANCOS  DONDE SE INFORMÓ SOBRE EL PROGRAMA DE GESTIÓN RESILIENTE, ASÍ COMO LOS AVANCES QUE SE TIENEN EAL MUNICIPIO DE PALOS BLANCOS RESPECTO A LOS COMPROMISOS ANTERIORMENTE ASUMIDOS, TAMBIÉN SE INFORMÓ SOBRE EL ESTADO DE LOS PROYECTOS DE AGUA POTABLE Y ALCANTARILLADO SANITARIO.
EN FECHA 17 DE AGOSTO DEL 2026, SE SOSTUVO UNA REUNIÓN CON EL MUNICIPIO DE PALOS BLANCOS PARA SOLICITAR INFORMACIÓN SOBRE EL ESTADO DEL PROYECTO “CONSTRUCCIÓN SISTEMA DE AGUA POTABLE PUERTO CARMEN – PALOS BLANCOS”, DONDE NUEVAMENTE SE LES RATIFICO QUE CUMPLE CON LAS CONDICIONES TÉCNICAS DE LAS NORMATIVAS VIGENTES DEL SECTOR DE AGUA POTABLE PERO QUE AUN SE ENCUENTRA A LA  ESPERA DE UNA CARTERA DE FINANCIAMIENTO.
EN FECHA 20 DE AGOSTO DEL 2026, SE SOSTUVO UNA REUNIÓN CON FEDERACIÓN AGROECOLÓGICA DE COMUNIDADES INTERCULTURALES ORIGINARIAS PALOS BLANCOS - FAECIOAB ÁREA 5 DONDE REALIZÓ LA SOCIALIZACIÓN DEL REGLAMENTO PARA LA PRESENTACIÓN Y ELABORACIÓN DE PROYECTOS PREINVERSIÓN EN EL SECTOR DE AGUA POTABLE Y ALCANTARILLADO SANITARIO, SOBRE LA BASE DE LA NORMATIVA SECTORIAL VIGENTE. 
TODAS LAS SOLICITUDES DE PROYECTOS DEBERÁN SER DE CONOCIMIENTO DEL GOBIERNO AUTÓNOMO MUNICIPAL DE PALOS BLANCOS; POR LO CUAL SE RECOMENDÓ QUE ESTAS SEAN REMITIDAS A TRAVÉS DE DICHO GOBIERNO MUNICIPAL.
EN FECHA 2 DE SEPTIMBRE EL PROYECTO CUMPLE NORMATIVA CON UN PRESUPUESTO DE 5.1 MILLOES DE BOLIVIANOS, POR LO QUE SE SE ESPERA LA INCLUSION A UN PROGRAMA, COMO INDICA EN FECHA 17 DE AGOSTO DEL 2026, EL MUNICIPIO TIENE PLENO CONOCMIENTO DE QUE EL PROYECTO SE ENCUENTRA PARA BUSQUEDA DE FINANCIMAIENTO.

EL PROYECTO CONSTRUCCIÓN SISTEMA DE AGUA POTABLE PUERTO CARMEN – PALOS BLANCOS, CUEMPLE NORMATIVA, ACTUALMENTE SE CONTINUAN CON LAS GESTIONES PARA PODER INCLUIR EL PROYECTO DENTRO DE UN PROGRAMA CONFORME LA GESTION DE LA DIRECCIÓN GENERAL DE AGUA POTABLE.",SE ESTA A LA ESPERA DE FINANCIAMIENTO PARA UN PROGRAMA DONDE SE PUEDA INCLUIR EL PROYECTO.
18,86,2026-08-12T04:00:00.000Z,EN PROCESO,ACTA DE REUNION,ACTA DE REUNIÓN,"BENIGNO MACIAS M.-subcentral Timusa, 71213371","eL VDADI :

1.- EL VDADI y DI realizara las gestiones ante las instancias competentes Informe Tecnico de Condiciones Previas.
2.- Socializacion de pROGRAMAS A NIVEL nacional de apoyo al sector pecuario y agricola.
3.- Agendar la reunion con el Viceministerio de Recursos Hidricos riego agua potable y saneamiento basico.
",la solicitud se encuentra en proceso 
19,53,2026-06-30T04:00:00.000Z,CONCLUIDO,Registro de Reunion,"REUNIÓN EN FECHA 30/06/2026 EN LA CASA GRANDE PISO 21, CON AUTORIDADES DEL MUNICIPIO DE SICA SICA y  REUNIÓN EN FECHA 01/07/2026  EN INSTALACIONES DEL VICEMINISTERIO DE RECURSOS HÍDRICOS, RIEGO, AGUA POTABLE Y SANEAMIENTO BÁSICO CON AUTORIDADES DEL MUNICIPIO DE SICA SICA","VRHRAPYSB, CONJUNTAMENTE CON EL MUNICIPIO DE SICA SICA","A PETICIÓN DE LOS EJECUTIVOS DE LAS CENTRALES Y SUBCENTRALES DE LA 1ER SECCIÓN MUNICIPAL DE SICA SICA SE SOSTUVO UNA REUNIÓN EN FECHA 30/06/2026 EN LA CASA GRANDE PISO 21, CON AUTORIDADES DEL MUNICIPIO DE SICA SICA, EN LA CUAL SE LES EXPLICO LA SITUACIÓN ACTUAL DE LOS 6 ITCP´s (LARICAYA, SANTA ROSA, VILUYO GRANDE, LAMPAYA, COLLPA PUCHO Y CALA CALA)

ASIMISMO, SE SOSTUVO OTRA REUNIÓN EN FECHA 01/07/2026  EN INSTALACIONES DEL VICEMINISTERIO DE RECURSOS HÍDRICOS, RIEGO, AGUA POTABLE Y SANEAMIENTO BÁSICO CON AUTORIDADES DEL MUNICIPIO DE SICA SICA, TUPAC KATARI, EN LA CUAL SE LES SOCIALIZÓ EL PROGRAMA ""GESTIÓN RESILIENTE"" EL CUAL SE ENCUENTRA VIGENTE.
EN FECHA 21/08/2026 SE LLEVO A CABO UNA REUNION DE COORDINACION CON LOS REPRESENTANTES DEL MUNICIPIO DE SICA SICA, Y SE INIDICO QUE LA COORDINACION Y PRIORIZACION DE PROYECTOS DEBEN REALIZARSE A TRAVES DEL GAM.

SIN EMBARGO EL VSHASByR, HIZO LA DIFUSIÓN DE LOS PROGRAMAS VIGENTES EN LA TEMATICA DE RIEGO, COMO SER EL PROGRAMA GESTION RESILIENTE DE AGUA PARA RIEGO COMUNITARIO FINANCIADO CON EL BANCO MUNDIAL , LA CUAL PRESENTA UNA CARTERA ABIERTA Y CON RECURSOS DISPONIBLES.
MANDAR REITERATIVAS PARA PRESENTACIÓN DE ITCP COREGIDOS Y PROGRAMAR REUNIÓN DE COORDINACIÓN.


A TRAVÉS DE LA DIRECCIÓN GENERAL DE CUENCAS (DGC), SE REALIZÓ LA EVALUACIÓN DEL PROYECTO “MANEJO INTEGRAL DE LA SUBCUENCA DE LOS RÍOS LLOJLLA Y LAKA UTA (LAHUACHACA)”. EN ESE CONTEXTO, EN LA GESTIÓN 2024 EL PROYECTO FUE REMITIDO AL GOBIERNO AUTÓNOMO DEPARTAMENTAL DE LA PAZ (GADLP) PARA SU PRIORIZACIÓN Y GESTIÓN DE FINANCIAMIENTO. A LA FECHA, NO SE CUENTA CON RESPUESTA OFICIAL POR PARTE DEL GOBIERNO AUTÓNOMO DEPARTAMENTAL DE LA PAZ RESPECTO A LAS GESTIONES REALIZADAS.
EN FECHA 07/09/2026 SE REALIZO UNA REUNION DE LA PROVINCIA AROMA, EN EL MUNICIPIO DE SICA SICA, EN EL QUE PARTICIPARON TODOS LOS MUNICIPIOS DE LA PROVINCIA, CON LA PARTICIPACION DE LOS DISTINTOS VICEMINISTERIOS DEL ESTADO Y ENTIDADES EJECUTORAS. EN EL MARCO DE LAS COMPETENCIAS DE LA DIRECCIÓN GENERAL DE RECURSOS HÍDRICOS Y RIEGO (DGRHYR), SE INFORMO LOS PROYECTOS DE LA PROVINCIA Y SE REALIZÓ LA SOCIALIZACIÓN DEL PROGRAMA “GESTIÓN RESILIENTE DEL AGUA PARA RIEGO FAMILIAR Y COMUNITARIO”, DANDO A CONOCER SUS LINEAMIENTOS, REQUISITOS Y CRITERIOS DE ELEGIBILIDAD PARA LA PRESENTACIÓN Y CONSIDERACIÓN DE PROYECTOS.
ASIMISMO, SE INVITÓ AL ALCALDE MUNICIPAL A REMITIR LOS CORRESPONDIENTES ITCP Y EDTP, CONFORME A LOS REQUERIMIENTOS Y CONDICIONES ESTABLECIDOS POR EL PROGRAMA.",Se adjunta Actas de reunión de fecha 30 de junio de 2026 y acta de reunión de fecha 01 de julio de 2026.
20,87,2026-05-07T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,SE ATENDIO LA SOLICITUD,NINGUNA
21,90,2026-05-11T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,SE ATENDIO LO SOLICITADO,
22,91,2026-06-04T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,"POR INTERVENCION DEL SR. VICEMINISTRO DEL VDADI KAREL RIVERO LOS DEMANDANTES SE REUNIERON CON EL SR. MINISTRO OSCAR JUSTINIANO, ",LA SOLICITUD FUE DEBIDAMENTE ATENDIDA
23,92,2026-08-19T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,SIN SEGUIMIENTO,NINGUNA
24,93,2026-05-19T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,SIN SEGUIMIENTO,NINGUNA
25,94,2026-05-28T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,SIN SEGUIMIENTO PORQUE SE BRINDO LA INFORMACION REQUERIDA,NINGUNA
26,95,2026-05-28T04:00:00.000Z,EN PROCESO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,SE COORDINARA LA FECHA DE REUNION,POR TEMAS DE CONFLICTO SOCIAL
27,96,2026-08-03T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,SE ATENDIO LA SOLICITUD EN EL MISMO DIA,SIN OBSERVACION
28,97,2026-06-29T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,EN EL MISMO DIA SE ATENDIERON LAS CONSULTAS ,SE EXPLICO QUE EN EL VDADI POR EL MOMENTO NO SE TIENE PROGRAMAS DE PARA PARA REALIZAR CONVENIOS
29,98,2026-08-19T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,SE ENVIO LO REQUERIDO AL GAM DE PUERTO PEREZ,SE ATENDIO LA SOLICITUD
30,99,2026-06-12T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,SE CUMPLIO LO SOLICITADO,LA SOLICITUD FUE ATENDIDA DE MANERA OPORTUNA SIN NECESIDAD DE NOTA DE SOLICITUD - ATENCION OPORTUNA
31,100,2026-07-03T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,SIN SEGUIMIENTO,SE ATENDIO LA SOLICITUD DE MANERA OPORTUNA SIN NECESIDAD DE NOTA DE SOLICITUD Y AUN ESTANDO EN PERIODO DE CONFLICTO
32,101,2026-07-08T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,SE ACORDO SEGUIR MANTENIENDO LAS VIAS DE COMUNICACION PARA GESTIONAR SU REQUERIMIENTO ,SE ATENDIO EN EL PLAZO ESTABLECIDO MUY OPORTUNAMENTE
33,103,2026-07-20T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,NO REQUIERE SEGUIMIENTO PORQUE SE ATENDIO LA SOLICITUD,EN UN PLAZO OPORTUNO LA SOLICITUD FUE ATENDIDA
34,104,2026-07-21T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,SE ATENDIO LA SOLICITUD EN EL PLAZO ESTABLECIDO,SE LE DIO INFORMACION DETALLADA
35,105,2026-07-21T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,SE ATENDIO LA SOLICITUD REQUERIDA,"A LA PRESENCIA DEL ALCALDE, CONCEJALES, AUTORIDADES ORIGINARIAS Y BASES MASIVAMENTE SE ATENDIO"
36,83,2026-07-11T04:00:00.000Z,CONCLUIDO,CCU habilitado,Servicio Nacional de Areas Protegidas,Marcela Díaz,"No se requiere de seguimiento, el CCU está habilitado, demanda resuelta","Demanda resuelta, el CCU (Documento de compatibilidad de uso de suelo) se habilitó el 11 de julio mediante comunicación verbal a la organización demandante.
Se adjunta las actas de cronología de antención de la demanda."
37,106,2026-07-20T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ACTA DE REUNION DE FECHA 20 DE JULIO ,"MARKA MALLKU -CEL 72577229, VDADI -ING.LIPA CEL 75165998  ",SE ATENDIO LA SOLICITUD,SE ADJUNTA EL ACTA DE REUNION DE ACUERDO DE RESPUESTA
38,84,1899-11-30T04:32:36.000Z,EN PROCESO,AJAM,AJAM,AJAM,Se intentó hacer seguimiento. ,"Se intentó hacer seguimiento sobre avances en AJAM, AJAM no respondió la solicitud de información. "
39,85,1899-11-30T04:32:36.000Z,EN PROCESO,AJAM,AJAM,AJAM,Se intentó seguimiento,"Se intentó hacer seguimiento sobre avances en AJAM, AJAM no respondió la solicitud de información. "
40,107,2026-08-17T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,SE ATENDIO LA SOLICITUD,SIN OBSERVACION
41,108,2026-08-18T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. LUCIO LIPA,CEL 75165998,NO AMERITA SEGUIMIENTO,SIN OBSERVACION
42,44,2026-06-30T04:00:00.000Z,CONCLUIDO,"NOTA RESPUESTA A PETICIÓN, REUNIÓN EN FECHA 30/06/2026 EN EN LA CASA GRANDE PISO 21,  CON AUTORIDADES DEL MUNICIPIO DE SICA SICA Y RESPUESTA A DEMANDA PROYECTOS DE CONSTRUCCIÓN DE PRESA, PERFORACIÓN DE POZOS, Y EQUIPOS DE BOMBEO PARA COMUNICADES DEL MUNICIPIO DE SICA SICA","NOTA RESPUESTA A PETICIÓN, ACTA DE REUNIÓN EN FECHA 30/06/2026 EN LA CASA GRANDE PISO 21, CON AUTORIDADES DEL MUNICIPIO DE SICA SICA Y NOTA DE RESPUESTA A LA DEMANDANDA PROYECTOS DE CONSTRUCCIÓN DE PRESA, PERFORACIÓN DE POZOS, Y EQUIPOS DE BOMBEO PARA COMUNICADES DEL MUNICIPIO DE SICA SICA,","CORINA CUSI DE SANTOS SECRETARIA GENERAL  73212934, SONIA APAZA SANTOS SECRETARIA GENERAL 64212151","EN FECHA 25 DE JUNIO DE 2026 MEDIANTE NOTA CAR/MDPRyA/VRHRAPySB/DGR/UGR N° 0251/2026 SE DIO RESPUESTA A PETICION SOBRE COMPROMISOS ASUMIDOS ENTRE EL GOBIERNO NACIONAL Y PROVINCIA AROMA MUNICIPIO DE SICA SICA DEL DEPARTAMENTO DE LA PAZ - SUBCENTRAL DISTRITO AYAMAYA, DONDE SE EXPLICA EL PROCEDIMIENTO QUE SE DEBE SEGUIR PARA PRESENTAR UN ITCPs PARA PROYECTOS DE RIEGO Y PRESAS.
Y A LA FECHA EN LA BASE DE DATOS DE LS DIRECCIÓN GENERAL DE RIEGO NO SE TIENEN NINGUNA PRESENTACIÓN DE ITCP PARA UN PROYECTO DE PRESA DE LA SUBCENTRAL AYAMAYA.
A PETICIÓN DE LOS EJECUTIVOS DE LAS CENTRALES Y SUBCENTRALES DE LA 1ER SECCIÓN MUNICIPAL DE SICA SICA SE SOSTUVO UNA REUNIÓN EN FECHA 30/06/2026 EN LA CASA GRANDE PISO 21, CON AUTORIDADES DEL MUNICIPIO DE SICA SICA, EN LA CUAL SE LES EXPLICO LA SITUACIÓN ACTUAL DE LOS 6 ITCP´s (LARICAYA, SANTA ROSA, VILUYO GRANDE, LAMPAYA, COLLPA PUCHO Y CALA CALA).

EN FECHA 07/09/2026 SE REALIZO UNA REUNION DE LA PROVINCIA AROMA, EN EL MUNICIPIO DE SICA SICA, EN EL QUE PARTICIPARON TODOS LOS MUNICIPIOS DE LA PROVINCIA, CON LA PARTICIPACION DE LOS DISTINTOS VICEMINISTERIOS DEL ESTADO Y ENTIDADES EJECUTORAS. EN EL MARCO DE LAS COMPETENCIAS DE LA DIRECCIÓN GENERAL DE RECURSOS HÍDRICOS Y RIEGO (DGRHYR), SE INFORMO LOS PROYECTOS DE LA PROVINCIA Y SE REALIZÓ LA SOCIALIZACIÓN DEL PROGRAMA “GESTIÓN RESILIENTE DEL AGUA PARA RIEGO FAMILIAR Y COMUNITARIO”, DANDO A CONOCER SUS LINEAMIENTOS, REQUISITOS Y CRITERIOS DE ELEGIBILIDAD PARA LA PRESENTACIÓN Y CONSIDERACIÓN DE PROYECTOS.
ASIMISMO, SE INVITÓ AL ALCALDE MUNICIPAL A REMITIR LOS CORRESPONDIENTES ITCP Y EDTP, CONFORME A LOS REQUERIMIENTOS Y CONDICIONES ESTABLECIDOS POR EL PROGRAMA.
SE TIENE UNA REUNIÓN PROGRAMADA PARA FECHA 22/09/26 A LAS 14:00  PM DONDE SE TOCARAN NUEVAMENTE TODOS LOS REQUERIMIENTOS QUE SOLICITAN Y PODER DE ESTA MANERA BRINDAR TODA LA INFORMACIÓN REQUERIDA Y DESPEJAR SUS DUDAS.","SE ADJUNTA NOTA RESPUESTA A PETICIÓN, ACTA Reunion de Coordinacion Sica Sica 30_junio_26 Y NOTA CAR_E-MDPRyA_2026-14869_0245_RESPUESTA SOLICITUD DE CONSTRUCCION DE REPRESA_SICA SICA"
43,109,2026-07-14T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. RILMAR LEON,73510800,SE ESTA A LA ESPERA DEL ENVIO DE INFORMACION DEL GAM TARVITA,# CEL RENE BENEGAS 72418405
44,110,2026-08-12T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. RILMAR LEON,73510800,NO REQUIERE SEGUIMIENTO SE ATENDIO LO SOLICITADO,"LA FERIA DE CAMELIDOS SE TIENE PREVISTO PARA LOS DIAS 18, 19 Y 20 DE SEPT."
45,111,2026-08-12T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ING. RILMAR LEON,73510800,A LA FECHA EL GAM DE PAZÑA AUN NO ENVIO LA SOLICITUD DE PERFORACION DE POZOS,SIN OBSERVACION
46,37,2026-09-21T04:00:00.000Z,EN PROCESO,RESUMEN DE REUNIONES Y REPORTE POR PARTE DEL DIRECTOR GENERAL DE RECURSOS HIDRIGOS Y RIEGO,RESUMEN REUNIONES CON MUNICIPIO DE PALOS BLANCOS,ELIAS TRIGO 72852259,"En fecha 20 de julio, Por parte del VSHASByR se informó sobre el Programa de Gestión resiliente.
No se tiene ninguna presentación de ITCPs o EDTPs por parte de Palos Blancos.

EL VSHASByR GESTIONO LA VISITA DE CAMPO AL MUNICIPIO DE PALOS BLANCOS A CARGO DEL PERSONAL TECNICO DEL SENARI EN FECHA27/06/2026, PARA LA ASITENCIA TECNICA EN LA ELABORACION DE LOS INFORMES TECNICOS DE CONDICIONES PREVIAS,

1.-“CONSTRUCCIÓN SISTEMA DE RIEGO PARA LAS COMUNIDADES BRECHA K, BRECHA I, BRECHA J, MONTE MAYOR, SAN JOSÉ B Y SAN JUAN
2.-“CONSTRUCCIÓN SISTEMA DE RIEGO PARA LAS COMUNIDADES MAPURICHUQUI, 25 DE SEPTIEMBRE Y VILLAZÓN”

ACTUALMENTE SE ENCUENTRA EN REVISION POR PARTE DEL EQUIPO TECNICO DE LA DIRECCION GENERAL DE RECURSOS HIDRICOS Y RIEGO, CON UN PLAZO PREVISTO HASTA EL 11/09/2026.

CONTINUAN EN EVALUACIÓN CON FECHA PREVISTA DE CONCLUSIÓN DE REVISION Y EMISIÓN DE INFORME PARA EL DÍA LUNES 21/09/26. TOMANDO EN CUENTA QUE LOS DOCUMENTOS FUERON INGRESADOS EN FECHA 09/09/26.
SE EMITIRA LOS INFORMES DE REVISIÓN HASTA EL DIA JUEVES 24/09/26.",
