iddemandapunto,idprincipal,puntonro,descripcionpto,resultadopto,fechaplazo,responsabledemandante,responsabledemandado
19,105,ART C,"EXHORTA AL MINISTERIO DE DESARROLLO RURAL Y TIERRAS MEDIANTE EL INSTITUTO NACIONAL DE SEGURO AGRARIO INSA REGIONAL CHUQUISACA, DAR RESPUESTA LOS RECLAMOS Y PREOCUPACIONES POR SER DAMNIFICADOS",PENDIENTE,2022-11-17T04:00:00.000Z,FUTPOCH,GADCH
20,113,1,Solicitud de construcción de hospital,,2023-08-22T18:43:00.000Z,Actor1,Actor2
21,124,1,Atención a Limites entre comunidades,Se ha generado un proceso entre comunidades organizado por el INRA y el GADCH,2025-06-24T12:32:00.000Z,Comunidad 1,"INRA, Comunidad 2"
25,188,1,Garantizar gasolina de buena calidad y resarcimiento de daños,Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-08-30T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
26,188,2,Implementación de nuevos surtidores en el Municipio de Palos Blancos. Dar vialidad en sus trámites de nuevos surtidores a las empresas en las zonas que faltan en el Municipio de Palos Blancos,Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-08-30T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
27,188,3,Rechazo al proyecto de ley antibloqueos.,Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-08-30T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
28,188,4,Rechazo a la privatización de las empresas estatales y de los recursos naturales estratégicos del país.,Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-08-30T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
29,188,5,Declaración austeridad y reducción de salarios de altas autoridades del estado al 50%,Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-08-30T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
30,188,6,"Ejecución y conclusión de carretera asfaltada: CARANAVI - QUIQU1BEY con full de maquinaria, con presupuesto y trabajando",Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-08-30T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
31,188,7,Construcción de dos puentes de integración con presupuesto.,Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-08-30T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
32,188,8,Estudio técnico y ejecución de acondicionamiento estable del Puente Sapecho,Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-08-30T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
33,188,9,Construcción y ampliación del sistema de alcantarillado en el Municipio de Palos Blancos en las áreas urbanas de los distritos.,Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-12-31T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
34,188,10,Implementación y ampliación de sistemas de agua potable en el Municipio de Palos Blancos,Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2027-02-01T03:59:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
35,188,11,"Hospital de Segundo Nivel Palos Blancos que cuenta con Ley, asignación de recursos para su ejecución",Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-08-30T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
36,188,12,"Gobierno Central gestione, el funcionamiento inmediato de las plantas productivas públicas del Estado, promoviendo la exportación de productos orgánicos, con el objetivo de generar movimiento económico, empleo y desarrollo para la región",Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-08-30T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
37,188,13,"13.	Reactivación del aparato productivo en el Municipio de Palos Blancos con:


I.	Implementación de sistemas de riego para las comunidades en todas las Centrales de las 4 Federaciones Regionales
II.	El estado promueva el mercado para los productores de la Cuarta Sección
III.	Proyecto de puentes vehiculares, El gobierno debe implementar una secretaria técnica de puentes.
IV.	Ampliación de la red de energía eléctrica en las comunidades
",Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-12-31T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
38,188,14,14.	Damos rechazo contundente a la privatización de Energía eléctrica,Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-08-30T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
39,188,15,15.	Dotación de Full de Maquinaria para Municipio de Palos Blancos.,Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-08-30T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
40,188,16,16.	Reactivación de la Institución de Caminos Vecinales para el mejoramiento de caminos de las comunidades.,Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-08-30T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
41,188,17,"17.	Abrogación de los Decretos Supremos de protección de tierras fiscales y de protección, para la titulación de tierras con asentamiento ubicadas en la jurisdicción del Municipio de Palos Blancos",Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-08-30T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
42,188,18,Apoyo construcción de la Obra CENTRO INTEGRAL PRODUCTIVO COMUNITARIO FAECAB - PALOS BLANCOS.,Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-08-30T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
43,188,19,19.	Electrificación en todas las comunidades del Municipio de Palos Blancos.,Declarar estado de emergencia y movilización permanente de todas las organizaciones sociales del Municipio de Palos Blancos y la región,2026-08-30T04:00:00.000Z,Organizaciones Sociales del Municipio de Palos Blancos,MDPRyA
44,189,1,CONSTRUCCION DE PROYECTOS DE REPRESA. - El Gobierno Nacional junto con el Gobierno Autónomo Departamental de La Paz y las autoridades del Municipio de Sica Sica gestionarán la conclusión de los trámites administrativos iniciados o en tramite para la ejecución de Proyectos de REPRESAS en el sector,Demanda de carácter perentorio hasta el día jueves 25 de junio ,2026-06-25T20:00:00.000Z,Ejecutivos de las Centrales y Sub centrales de la Primera Sección Municipal de Sica Sica,Ministerio de la Presidencia
45,189,2,"2.	REAPERTURA DE LA CÁRCEL. - El Gobierno Nacional a través de 
de igual forma el Gobierno Nacional realizara las gestiones para la búsqueda del financiamiento del diseño final de la cárcel de San Pedro de Sica Sica, ubicado en la zona de Huchusuma (superficie de 6 hectáreas). El Gobierno Autónomo Municipal de Sica Sica gestionara la transferencia de los predios conforme ley para dicho proyecto
",Demanda de carácter perentorio hasta el día jueves 25 de junio,2026-06-25T20:00:00.000Z,Ejecutivos de las Centrales y Sub centrales de la Primera Sección Municipal de Sica Sica,Ministerio de la Presidencia
46,189,3,"3.	IMPLEMENTACIÓN DE ESTACIÓN DE SERVICIO. - El Gobierno Nacional a través de Yacimientos Petrolíferos Fiscales, gestionará la evaluación técnica, para la construcción de una estación de servicio para el municipio de Sica Sica. De forma paralela las autoridades del municipio deberán cumplir con la remisión de la información técnica, señalando la ubicación, situación legal del predio, el acceso a los servicios básicos, etc. Conforme a reglamentación vigente",Demanda de carácter perentorio hasta el día jueves 25 de junio,2026-06-25T20:00:00.000Z,Ejecutivos de las Centrales y Sub centrales de la Primera Sección Municipal de Sica Sica,Ministerio de la Presidencia
47,189,4,4.	PROYECTO DE ENLOSETADO. - el Gobierno Nacional a través del FPS coadyuvará en los proyectos de enlosetado en el sector.,Demanda de carácter perentorio hasta el día jueves 25 de junio,2026-06-25T20:00:00.000Z,Ejecutivos de las Centrales y Sub centrales de la Primera Sección Municipal de Sica Sica,Ministerio de la Presidencia
48,189,5,Ministerio de la Presidencia,Demanda de carácter perentorio hasta el día jueves 25 de junio,2026-06-25T20:00:00.000Z,Ejecutivos de las Centrales y Sub centrales de la Primera Sección Municipal de Sica Sica,Ministerio de la Presidencia
49,189,6,"1.	RIPIADO DE LA PISTA DE ATERRIZAJE. - El Gobierno Nacional gestionara ante NAABOL y el Gobierno Autónomo Departamental de La Paz las acciones necesarias para el mantenimiento, previa verificación técnica, a cuyo efecto se señala reunión con el Ministerio de Obras Públicas, Servicios y Vivienda.",Demanda de carácter perentorio hasta el día jueves 25 de junio,2026-06-25T20:00:00.000Z,Ejecutivos de las Centrales y Sub centrales de la Primera Sección Municipal de Sica Sica,Ministerio de la Presidencia
50,189,7,"CONSTRUCCIÓN DEL AEROPUERTO. - El Gobierno Nacional respecto a la posibilidad de construcción de un nuevo aeropuerto, mediante el Ministerio de Obras Públicas, Servicios y Vivienda gestionará la posibilidad de un estudio técnico de ",Demanda de carácter perentorio hasta el día jueves 25 de junio,2026-06-25T20:00:00.000Z,Ejecutivos de las Centrales y Sub centrales de la Primera Sección Municipal de Sica Sica,Ministerio de la Presidencia
51,189,8,8.	EJECUCIÓN DE CAMINO PAVIMENTADO. - El Gobierno Nacional hará seguimiento a la ejecución del proyecto de “INCORPORACIÓN A LA RED DEPARTAMENTAL DE CAMINOS inscrito en el Gobierno Autónomo Departamental de La Paz y la ABC según corresponda,Demanda de carácter perentorio hasta el día jueves 25 de junio,2026-06-25T20:00:00.000Z,Ejecutivos de las Centrales y Sub centrales de la Primera Sección Municipal de Sica Sica,Ministerio de la Presidencia
52,189,9,"9.	SECCION SALUD. - El Gobierno Nacional en coordinación con el Ministerio
de Salud y la AISEM, gestionara la incorporación de equipos médicos para el W centro de salud de Sica Sica, programando reunión para fecha viernes 26 de junio de la presente, para lo cual los ejecutivos presentes deberán formar una delegación.
",Demanda de carácter perentorio hasta el día jueves 25 de junio,2026-06-25T20:00:00.000Z,Ejecutivos de las Centrales y Sub centrales de la Primera Sección Municipal de Sica Sica,Ministerio de la Presidencia
53,189,10,"PROGRAMAS DE AGUA, RIEGO Y PRODUCTIVIDAD. - El Gobierno Nacional gestionará ante las entidades encargadas las reuniones y mesas de trabajo relacionadas a cada distrito, para abordar los temas sobre pozos, atajadas, goteos, vertientes, proyectos de micro riego y equipamiento para el desarrollo de la producción agrícola.",Demanda de carácter perentorio hasta el día jueves 25 de junio,2026-06-25T20:00:00.000Z,Ejecutivos de las Centrales y Sub centrales de la Primera Sección Municipal de Sica Sica,Ministerio de la Presidencia
55,190,1,Centro de Mejoramiento genetico de la produccion de ganado Bovino  ,Reunion de Cordinacion ,2026-09-30T04:00:00.000Z,FEDERACIÓN DE INTERCULTURALES DEL NORTE INTEGRADO DE YAPACANÍ,MDPRyA
56,190,2,Centro de mejoramiento genetico produccion agricula ,Reunion de Cordinacion	,2026-09-30T04:00:00.000Z,FEDERACIÓN DE INTERCULTURALES DEL NORTE INTEGRADO DE YAPACANÍ,MDPRyA
57,190,3,"Acceso a finaciamiento para pequeños , medianos y grades ",Reunion de Cordinacion,2026-09-30T04:00:00.000Z,FEDERACIÓN DE INTERCULTURALES DEL NORTE INTEGRADO DE YAPACANÍ,MDPRyA
58,190,4,Ejecucion plata piscicola - contruccion matadero para exportacion de carne ,Reunion de Cordinacio,2026-09-30T04:00:00.000Z,FEDERACIÓN DE INTERCULTURALES DEL NORTE INTEGRADO DE YAPACANÍ,MDPRyA
59,191,1,"CREACION INMEDIATA DE UN PROGRAMA DE EMERGENCIA CON FINANCIAMIENTO, PARA LOS EFECTOS DE CAMBIO CLIMATICO, PARA MITIGAR EL ALTO IMPACTO DE LA SEQUIA, HELADA, GRANIZOS, mediante los componentes de: Equipos de perforación de pozos y bombeo de agua a panel solar, construcción de invernaderos con material garantizada para la producción de forrajes y hortalizas. Apoyo con alimentos y herramientas de trabajo para la limpieza y mantenimiento de fuentes de agua, sequías, canales de riego, mantenimiento de caminos vecinales, sendas y caminos turísticos en las comunidades y otros",LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,2026-12-31T04:00:00.000Z,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA
60,191,2,"Proyecto y financíamiento sostenido para el complejo productivo de la quinua o cadena productiva, comprende los sectores de: Salinas, Challapata, Huari, Quillacas, Pampa Auiiagas, Pazña, Poopo, El Choro, Toledo, Caracoilo y otros municipios.",LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,2026-05-21T16:00:00.000Z,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA-VDADI
61,191,3,"Proyecto y financíamiento para el complejo productivo de camélidos o cadenas productivas, desde la PRODUCCION, TRANSFORMACION Y COMERCIALIZACION, (Agua para producción - cosechas de aguas de lluvia, perforación de pozos, represas, sistemas de riego tecnificado, silos para forrajes, maquinarias agrícolas, cobertizos, son más de 30 municipios productores del departamento. El occidente de Oruro potencial productor como: Curahuara de Carangas Corque, San Pedro de Totora, Huayllamarca, Choquecota, Turco, Corque, Sur Carangas, Salinas, Huanuni, Challapata y otros,",LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIA,2026-05-21T16:00:00.000Z,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA-VDADI
62,191,4,"Proyecto de financíamiento para la producción de hortalizas en las regiones productoras, de Soracachl, Caracoilo, Machacamarca, Poopo, Pazña, Challapata, Huayllamarca, Curahuara de Carangas.",LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA
63,191,5,"5.	Proyecto de financíamiento para la producción lechera, principalmente en los municipios productores, desde Caracoilo, hasta Challpata, toda la cuenca lechera.",LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,2026-05-21T17:08:00.000Z,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA-VDADI
64,191,6,"Perforación de pozos profundos para agua, cosechas de aguas de lluvia, construcción de represas de agua, sistemas de riego tecnificado en las 16 provincias del departamento",LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,2027-01-01T03:59:00.000Z,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA
65,191,7,"Reactivación y construcción de centros artesanales para la transformación de la fibra de camélidos, lana de ovinos en las 16 provincias, para su exportación",LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA
66,191,8,"Impulsar las potencialidades turísticas especialmente el turismo comunitario, para las 16 provincias del departamento de Oruro, Inventario y catalogación de atractivos
turísticos, señalización y puesta en valor de los productos turísticos, con promoción y marketing",LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA
67,191,9,Financiamiento para la construcción de viveros forestales en los diferentes municipios para la reforestación de áreas verdes y enfrentar el cambio climático,LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,,	FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA
68,191,10,"Financiamiento para la ejecución de proyectos de INVERNADEROS CON TECNOLOGIA E INVERNADEROS HIDROPONICOS en los 34 municipios de Oruro, para la producción de Hortalizas, para garantizar la seguridad alimentaria y producción de forraje para la ganadería, en tiempos de escases de productos y el cambio climático",LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,2026-05-21T17:00:00.000Z,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA
69,191,11,Continuidad de la construcción de la carretera doble vía Oruro - Challapata.,LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA
70,191,12,"Continuidad y conclusión de la carretera F 31, que conecta Oruro, la joya, Huayllamarca, Totora, Curahuara de Carangas, Sajama, Tambo Quemado",LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA
71,191,13,"Construcción de carreteras intermunicipales en el departamento, para facilitar la movilidad comercial de productos locales principalmente.",LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA
72,191,14,"ORURO, ZONA ECONOMICA ESPECIAL, PRODUCTIVA, INDUSTRIAL, COMERCIAL, EXPORTADORA Y TURISTICA, Según LAS VOCACIONES PRODUCTIVAS, INFRAESTRUCTURA PRODUCTIVA Y DE ACCESO”.
“La mayor aspiración del departamento de Oruro es declarar mediante ley nacional como ZONA ECONOMICA ESPECIAL, INDUSTRIAL, EXPORTADORA Y TURISTICA, para favorecer y atraer inversiones del interior y exterior del país, destinado a reactivar la macro y micro economía de todo el departamento.
Nuevas industrias para Oruro: El desafio es Implementar, nuevas industrias de producción, en materia de SEGURIDAD ALIMENTARIA, ensamblado de movilidades, equipos tecnológicos
",LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA
73,191,15,"15.	PLAN DE EMERGENCIA DE EMPLEO NACIONAL, PARA REACTIVAR LA ECONOMIA DE SECTORES DEL SECTOR MAYORITARIO DE ORURO, (CAMPO - CIUDAD).",LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA
74,191,16,"GESTION INMEDIATA DE LA COOPERACION INTERNACIONAL PARA ORURO Y SOLIVIA, ( ONGS Y FUNDACIONES, COSUDE, PMA, UNICEF, CARITAS, KFW, UE. Y OTROS, MEDIANTE LA CANCILLERIA",LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA
75,191,17,"Oruro, NO CUENTA REPRESENTACION EN EL PORDER EJECUTIVO",LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA
76,191,18,"Construcción de plantas de industrialización de los RESIDUOS SOLIDOS básicamente, sujeto a un estudio técnico - financiero",LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,2027-01-01T03:59:00.000Z,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA
77,191,19,"Construcción de institutos tecnológicos, en los diferentes municipios del departamento para una educación competitiva, moderna y productiva",LA AGENDA DEPARTAMENTAL O PLIEGO PETITORIO PARA EL DESARROLLO PARA LAS 16 PROVINCIAS,,FEDERACIÓN SINDICAL ÚNICA DE TRABAJADORES CAMPESINOS DE ORURO- F.S.U.T.C.O.,MDPRyA
78,192,1,1.	La inclusión de los productores avícolas de los valles crúcenos en el fideicomiso creado para el sector,Solicitud ,,Federación Nacional de Avicultores FENAV-B ,MDPRyA
79,192,2,"2.	La creación de créditos adicionales o la consideración de la inclusión de dichos productores en los créditos ya autorizados para la avicultura, con el fin de garantizar la recuperación y sostpnibilídad de sus actividades",Solicitud,,Federación Nacional de Avicultores FENAV-B,MDPRyA
80,193,1,FINANCIAMIENTO PARA CONSTRUCCION DEL PROYECTO DE RIEGO TECNIFICADO PARCELARIO PATAMANTA ,"EN EL MARCO DE LA GESTIÓN DE FINANCIAMIENTO DEL PROYECTO DE RIEGO PARCELARIO PATAMANTA, SE REALIZARON LAS SIGUIENTES ACCIONES:
- APROBACIÓN DEL ESTUDIO
- COMPROMISOS DE CONTRAPARTE DEL GAM Y GAD.
- SOLICITUD DE RATIFICACIÓN DE CONTRAPARTES DE PARTE DEL GAM Y GAD.
- COMPROMISO DE LIBERACION DEL 80% DEL CANDADO ADUCCIÓN MULTIPROPÓSITO
- SOLICITUD DE FINANCIAMIENTO DEL PROYECTO AL VIPFE
- FORMULACIÓN DEL PROGRAMA PAPA (EN BORRADOR)
- REUNIÓN CON PATAMANTA EL 03/08/2026 EN EMAGUA A HRS. 10:00",2026-03-28T04:00:00.000Z,CENTRAL AGRARIA PATAMANTA,VRHRAPYSB
82,234,1,DEMANDARON UNIDADES MOVILES DE VENTA DE POLLO Y FINANCIAMIENTO DE GASOLINA PARA BAJA DE PRECIOS DE POLLO,SE REALIZARON UNIDADES MOVILES CORDINADAS Y EEUU FINANCIÓ A TRAVES DE PMA LA GASOLINA Y COSTOS LOGISTICOS,,FEJUVES EL ALLTO  (16 DISTRITOS),VCLI-EMAPA
83,237,1,"•	El SERNAP, realizará un análisis técnico y jurídico respecto a la actualización del reglamento para la otorgación del Certificado de Compatibilidad de Uso (CCU) en base a la normativa vigente","En base a la reunión inicial sostenida del 25 de mayo, se sostuvo una segunda reunión en fecha 1 de julio donde el SERNAP efectuaría el envío de propuesta de reglamento CCU hasta el 2 de junio del presente. 
El acuerdo estableció que día 7 de julio se sotendría una reunión con FENCOMIN Y FEDECOMIN La Paz. Posterior a la última reunión sostenida en fecha 10 de julio, el SERNAP procedió a reestablecer el CCU activo, cumpliendo con la demanda recibida.  
En fecha 2 de septiembre el SERNAP efectuó el envío de Nota CAR/DE N0189/2026 informando al Ministerio de Minería y Metalurgia sobre la reposición del Reglamento para la Emisión del Certificado de Compatibilidad de Uso (CCU). 
En fecha 3 de septiembre el SERNAP hará llegar una nota al Despacho del Ministro del MPSMAyA informando el cumplimiento con el acuerdo efectuado
           
Documentos adjuntas",2026-07-11T04:00:00.000Z,Federación Departamental de Cooperativas Mineras,Servicio Nacional de Áreas Protegidas
84,237,2,•	La AJAM realizará el análisis de recursos presentados por trámites de reversión de áreas en Apolobamba que se encuentren relacionado con el CCU en el marco de la normativa vigente,,2026-05-26T04:00:00.000Z,Federación Departamental de Cooperativas Mineras,AJAM
85,237,3,•	La AJAM atenderá los casos requeridos por la FEDECOMIN LA PAZ R.L,,2026-05-25T04:00:00.000Z,Federación Departamental de Cooperativas Mineras,AJAM
87,238,1,PROGRAMAS Y PROYECTOS,SE INFORMO SOBRE PROGRAMAS QUE RECIEN VIENEN ENCAMINANDOSE EN EL VDADI,2026-05-07T18:00:00.000Z,CELESTINO CONDORI REVOLLO - CORREGIDOR,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESCA
88,238,2,DOTACION DE MOTOCICLETAS E INMOBILIARIO EN CALIDAD DE COMODATO,LAS AUTORIDADES ORIGINARIAS PRESENTARAN AL MDPRYA LA SOLICITUD DE COMODATO,2026-05-07T18:00:00.000Z,CELESTINO CONDORI REVOLLO - CORREGIDOR,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESCA
89,238,3,PUESTO DE TRABAJO - STRIA IPDSA,SE REALLIZARA SEGUIMIENTO A LAS GESTIONES PARA LAS AUTORIDADES SOBRE ESTE CASO,2026-05-07T18:00:00.000Z,CELESTINO CONDORI REVOLLO - CORREGIDOR,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESCA
