idactor,idprincipal,fecha,Actores,Asuntos,IntNec,Miedos,Medios,Opciones,Tipoactor,Poder
13,38,2021-08-02T04:00:00.000Z,ADEPCOCA-ADEPCOCA,Aumentar el precio de la coca,Interes de aumentar el precio de la coca a de lugar,dejar de ser identificados por el sector interno,Movilizacion de personas,presión social ,Demandante,70
14,38,2021-08-02T04:00:00.000Z,S1MAY-Trabajadores Transportitas 1ro de Mayo,Apoyo a ADEPCOCA mientras ellos apoyen a su sindicato,Interes de aumentar la posibilidad de tener mas apoyo en su demanda a la Alcaldía Municipal por transporte,Cometer un apoyo no legitimo,Movilizacion social,presion social y movimiento de cantidad de personas asociadas,Apoya a Demandante,30
15,84,2021-11-16T04:00:00.000Z,GAMLP-Gobierno Autonomo Municipal de La Paz,sadf,asfd,afsd,asfd,safd,Demandante,80
16,84,2021-12-14T04:00:00.000Z,JVACH-Junta de Vecinos Achumani,fasdfads,fasdfsad,fsad,fasfdsa,fasdfsda,Demandado,45
17,84,2021-12-14T04:00:00.000Z,MINGOB-Ministerio de Gobierno,dfsgdfs,sdfgdf,dgfs,gfdsgdf,gdfsgdfs,Apoya a Demandante,14
18,98,2021-12-29T04:00:00.000Z,CONASA-CONASA,aksdjhfas,adsfslkjfdsa,adlkasd,asdfasd,fasdfasdfasd,Demandante,50
19,98,2021-12-29T04:00:00.000Z,GAMLP-Gobierno Autonomo Municipal de La Paz,fadsfasd,fasdf,asfdafsd,asdfasd,asdfasd,Demandado,35
20,98,2021-12-29T04:00:00.000Z,MINGOB-Ministerio de Gobierno,asdfasdf,fsdafasd,fasdfsad,fasdfasd,fasdfasd,Apoya a Demandante,15
21,68,2022-02-09T04:00:00.000Z,ADEPCOCA,Recuperar el espacio en el mercado villafatima,Venta de la coca en cumplimiento a la ley,No obtener los resultados comprometidos con los diferentes asociados,Movilización,Ante la negación solamente le queda bloquear y ejercer medidas de presión violenta,Demandante,70
22,68,2022-02-09T04:00:00.000Z,MINGOB-Ministerio de Gobierno,Generar las condiciones de negociación ante la solicitud de ADEPCOCA,Mantener la institucionalidad,perder la institucionalidad respecto al trabajo que realiza ministerio de gobierno ante la sociedad,dialogo,apoyo institucional,Demandado,50
23,68,2022-02-09T04:00:00.000Z,MINAGRO-Ministerio de Agronomia,atender la solicitud de adepcoca en su integridad y analizar otros espacios,cumplir su funcion,Perder legitimidad ante las funciones delegadas,dialogo y apoyo institucional,Apoyo institucional,Demandado,20
24,64,2022-03-29T04:00:00.000Z,GAMLP-Gobierno Autonomo Municipal de La Paz,Cumplir con sus funciones,Mejorar las condiciones,a perder institucionalidad,Personal GAMLP,"Aferrarse al acuerdo anterior.

Uso de Personal GAMLP técnico",Demandado,80
25,100,2022-06-27T04:00:00.000Z,APCCD-Asociacion de Personas con Capacidades Diferentes,Ley 239 abrogacion para mejorar la calidad de vida de las personas con discapacidad en sus puntos 2 y 3,Interes de ser incluidos en la sociedad,No sean tomados en cuenta ,Llamar al bloqueo de sus asociados,"Bloquear

Hablar con Prensa

Valerse de ONG",Demandante,40
26,100,2022-06-29T04:00:00.000Z,GAMLP-Gobierno Autonomo Municipal de La Paz,asfasd,asdfdsa,fasd,sadfads,afsdf,Demandado,20
27,100,2022-06-29T04:00:00.000Z,CONASA-CONASA,fasdf,dsafasd,fsad,fsad,fasd,Apoya a Demandante,30
29,106,2022-10-27T04:00:00.000Z,CCPSC-COMITE CIVICO PRO SANTACRUZ,CENSO 2023,Legitimidad Ciudadana ,Perdida de legitimidad,Medidas de PresiÃ³n ,"- Radicalizar movimientos sociales 
- Figurar en la prensa  ",Demandante,40
30,106,2022-10-27T04:00:00.000Z,FAM-FEDERACION DE ASOCIACIONES MUNICIPALES,Apoyo CENSO 2024 ,Quedar bien con el Gobierno para distribuciÃ³n de los recursos,DesatenciÃ³n de Gobierno Municipal ,Convocatoria municipal ,Apoyo Gobierno Central en el proceso ,Apoya a Demandado,5
31,106,2022-10-27T04:00:00.000Z,AMB-Asociación de Munipalidades de Bolivia,CENSO 2023,Lograr Escenarios para mas recursos ,DivisiÃ³n Interna,PronunciaciÃ³n en medios ,Noticias ,Apoya a Demandado,5
32,106,2022-10-27T04:00:00.000Z,GOBCEN-Gobierno Central,"- CENSO 2024 
- Falta condiciones para realizarlo en 2023 ","- Interes PolÃ­tico
- Mantener el Poder
- Asegurar ReelecciÃ³n 
- Manipular InformaciÃ³n ","- Perder poder y HegemonÃ­as 
- Resultados
- Ser Juzgados
- Que se Efectue el CENSO 2023
- Perder el control de informaciÃ³n   
 ","- Manejo del INE
- ManipulaciÃ³n Institucional 
- Control por manipulaciÃ³n de bases 
- Medios de comunicaciÃ³n 
- Recursos del Estado","- Convocatoria a dialogo
- CoacciÃ³n 
- Recurrir a autoridades de su linea
",Demandado,60
33,106,2022-10-27T04:00:00.000Z,GADCH-GOBIERNO AUTONOMO DEPARTAMENTAL DE CHUQUISACA,CENSO 2023,"- Credibilidad ciudadana 
- DistribuciÃ³n de recursos 
-Liderazgo PolÃ­tico Interinstitucional    ","- Perder legitimidad 
- Perder recursos  
- Perder poder ",Convocatoria Interinstitucional  ,"- MovilizaciÃ³n 
- PronunciaciÃ³n en medios ",Apoya a Demandado,50
34,127,2025-02-06T04:00:00.000Z,GOBCEN-Gobierno Central,"Manejo del déficit fiscal, la deuda pública y las reservas internacionales.

Mantenimiento de la estabilidad económica y social frente a la desaceleración económica.","Mantener el control político y la gobernabilidad.

Evitar una crisis social que pueda desestabilizar el régimen.

Garantizar el financiamiento para proyectos públicos y subsidios.","Pérdida de legitimidad y apoyo popular.

Incapacidad para cumplir con las obligaciones de deuda externa e interna.

Aumento de la inflación y descontento social.","Implementación de políticas fiscales y monetarias (emisión monetaria, ajustes fiscales).

Negociación con organismos internacionales (FMI, Banco Mundial) para obtener financiamiento.

Control del tipo de cambio y las reservas internacionales.","Ajuste fiscal para reducir el déficit, aunque con riesgos sociales.

Buscar financiamiento externo para cubrir las necesidades de divisas.

Reformas estructurales para diversificar la economía y reducir la dependencia de los hidrocarburos.",Demandado,90
35,127,2025-02-06T04:00:00.000Z,BCB-Banco Central de Bolivia,"Gestión de las reservas internacionales y la política monetaria.

Control de la inflación y el tipo de cambio.","Mantener la estabilidad monetaria y evitar la hiperinflación.

Garantizar la liquidez del sistema financiero.","Agotamiento de las reservas internacionales.

Pérdida de credibilidad en la moneda nacional (boliviano).

Ataques especulativos contra el tipo de cambio.","Intervención en el mercado cambiario (aunque limitada desde 2023).

Emisión monetaria para financiar el déficit fiscal.

Ajuste de tasas de interés para controlar la inflación.","Continuar con la emisión monetaria, aunque con riesgos inflacionarios.

Buscar alternativas para aumentar las reservas internacionales (venta de oro, préstamos internacionales).

Flexibilizar el tipo de cambio para aliviar la presión sobre las reservas.",Demandado,70
36,127,2025-02-06T04:00:00.000Z,Sector Privado (Empresas y Comerciantes),"Acceso a divisas para importaciones y operaciones comerciales.

Impacto de la inflación y la devaluación del boliviano en los costos de producción.","Estabilidad económica para operar y crecer.

Acceso a créditos y financiamiento en condiciones favorables.","Escasez de dólares y dificultades para importar insumos.

Cierre de empresas debido al aumento de costos y la caída de la demanda.

Pérdida de competitividad frente a la economía informal.","Presión al gobierno para obtener divisas y políticas favorables.

Búsqueda de alternativas en el mercado informal o paralelo.","Diversificar fuentes de financiamiento y mercados.

Reducir costos y ajustar precios para mantener la rentabilidad.

Presionar al gobierno para que implemente reformas económicas.",Demandante,40
37,127,2025-02-06T04:00:00.000Z,Población (Ciudadanos y Hogares),"Impacto de la inflación en el poder adquisitivo.

Acceso a productos básicos y servicios públicos.","Mantener el acceso a alimentos, medicamentos y combustibles.

Proteger sus ahorros y empleos.","Aumento de la pobreza y la desigualdad.

Desabastecimiento de productos esenciales.

Pérdida de empleos y reducción de ingresos.","Movilizaciones y protestas para exigir respuestas del gobierno.

Búsqueda de alternativas en la economía informal.","Organizarse en redes comunitarias para enfrentar la crisis.

Presionar al gobierno para que implemente políticas sociales y económicas que protejan a la población.",Demandante,80
38,127,2025-02-06T04:00:00.000Z,Organismos Internacionales,"Sostenibilidad de la deuda externa de Bolivia.

Implementación de reformas económicas y fiscales.","Garantizar el pago de la deuda y evitar un default.

Promover políticas económicas sostenibles y transparentes.","Incumplimiento de pagos por parte de Bolivia.

Agravamiento de la crisis económica y social en el país.","Condicionamiento de préstamos a la implementación de reformas.

Asesoramiento técnico y financiero al gobierno boliviano.","Otorgar préstamos de emergencia para aliviar la crisis.

Exigir ajustes fiscales y reformas estructurales a cambio de financiamiento.",Apoya a Demandado,40
39,127,2025-02-06T04:00:00.000Z,Empresas Públicas,"Gestión deficitaria y dependencia de subsidios estatales.

Impacto de la crisis en su capacidad operativa.","Mantener su operatividad y cumplir con sus obligaciones.

Recibir financiamiento y apoyo del gobierno.","Cierre o privatización debido a su insostenibilidad financiera.

Pérdida de empleos y reducción de servicios públicos.","Presión al gobierno para obtener subsidios y financiamiento.

Búsqueda de eficiencia operativa para reducir pérdidas.

","Implementar reformas internas para mejorar su gestión.

Buscar alianzas con el sector privado o internacional para mejorar su rentabilidad.",Apoya a Demandado,30
40,127,2025-02-06T04:00:00.000Z,Sector Informal,"Operar fuera del sistema financiero formal.

Impacto de la crisis en sus actividades comerciales.","Mantener su capacidad de generar ingresos.

Evitar la intervención del Estado en sus actividades.","Mayor regulación y control por parte del gobierno.

Pérdida de ingresos debido a la inflación y la devaluación.

","Operar en el mercado paralelo para obtener divisas y productos.

Presión al gobierno para mantener la flexibilidad en las políticas económicas.","Continuar operando en la informalidad, aunque con riesgos legales.

Buscar formas de formalización que les permitan acceder a beneficios fiscales y financieros.",Apoya a Demandante,70
41,127,2025-02-06T04:00:00.000Z,Organizaciones Sociales y Sindicatos,"Defensa de los derechos laborales y sociales.

Impacto de la crisis en los trabajadores y las comunidades.","Proteger los empleos y los salarios de sus afiliados.

Exigir políticas sociales y económicas que beneficien a la población.","Pérdida de empleos y reducción de salarios.

Aumento de la pobreza y la desigualdad.","Movilizaciones y protestas para exigir respuestas del gobierno.

Negociación con el gobierno y el sector privado para proteger a los trabajadores.","Organizar huelgas y protestas para presionar al gobierno.

Buscar alianzas con otros actores sociales y políticos para fortalecer su posición.",Apoya a Demandante,30
42,128,2025-02-11T04:00:00.000Z,Mujeres Bolivianas,"Desigualdad socioeconómica (desempleo, pobreza, brecha salarial de género).
- Falta de estrategias gubernamentales de sostenibilidad ambiental y social.
- Exclusión de mujeres en la toma de decisiones políticas","- Equidad de género y redistribución justa de recursos.
- Políticas públicas con enfoque sostenible e inclusivo.
- Acceso a empleo digno, educación y salud.
- Participación en diseño de políticas socioambientales.","- Represión estatal y criminalización de protestas.
- Que el Gobierno ignore sus demandas y perpetúe la desigualdad.","- Movilizaciones masivas y huelgas.
- Alianzas con organizaciones internacionales de derechos humanos.","- Negociar con el Gobierno bajo mediación internacional.
- Radicalizar las protestas si no hay avances.",Demandante,30
43,128,2025-02-11T04:00:00.000Z,GOBCEN-Gobierno Central,"- Presión por ajustes económicos y críticas a su gestión socioambiental.
- Riesgo de desestabilización política y pérdida de apoyo internacional.","- Mantener control político, evitar recesión económica y legitimarse ante sectores populares.",- Protestas masivas que deriven en crisis institucional y pérdida de inversiones extranjeras.," Ofrecer reformas simbólicas, reprimir protestas o negociar con líderes del movimiento.",- Apostar por la represión selectiva o ceder parcialmente con políticas focalizadas en mujeres.,Demandado,90
44,128,2025-02-11T04:00:00.000Z,Organizaciones Internacionales,"- Violaciones a derechos humanos y posible escalada de violencia.
- Presión por crisis humanitaria en comunidades rurales.",- Estabilidad regional y cumplimiento de acuerdos ambientales internacionales.,"- Polarización irreversible y colapso del diálogo.
","- Mediar en negociaciones, publicar informes críticos o imponer sanciones económicas.
","- Presionar al GOBCEN con condicionalidades o priorizar apoyo logístico al movimiento.
",Apoya a Demandante,80
45,128,2025-02-11T04:00:00.000Z,Sindicatos y Organizaciones Sociales,"- Precariedad laboral agravada por políticas económicas del gobierno.
","- Mejoras salariales y protección de empleos formales.
","- Cooptación del movimiento por intereses partidistas.
","- Huelgas generales o desvincularse de las mujeres para negociar por separado.
","- Unirse a las protestas o buscar acuerdos directos con el GOBCEN.
",Apoya a Demandado,60
46,128,2025-02-11T04:00:00.000Z,Empresarios y Sectores Privados,"- Inestabilidad que afecta cadenas de producción y mercados.
","- Políticas fiscales favorables y seguridad jurídica para inversiones.
","- Nacionalización de recursos o aumento de impuestos.
","- Presionar al GOBCEN mediante cierres temporales o financiar campañas mediáticas.
","- Apoyar reformas económicas moderadas o alinearse con la oposición política.
",Apoya a Demandante,30
47,128,2025-02-11T04:00:00.000Z,Medios de Comunicación,"- Cobertura parcializada: algunos medios criminalizan protestas, otros las idealizan.
","- Audiencia y mantener acceso a información oficial.
","- Censura gubernamental o represalias por parte de manifestantes.
","- Investigaciones periodísticas sobre corrupción o difusión de narrativas oficialistas.
",- Amplificar las demandas sociales o minimizar la crisis para evitar conflicto con el gobierno.,Apoya a Demandante,40
48,128,2025-02-11T04:00:00.000Z,Comunidades Indigenas,"- Impacto de megaproyectos en sus territorios sin consulta previa.
","- Autonomía en la gestión de recursos naturales y reconocimiento cultural.
","- Destrucción de ecosistemas y migración forzada.
","- Bloqueos de carreteras o alianzas estratégicas con el movimiento de mujeres.
","- Sumarse al conflicto o exigir atención específica a sus demandas históricas.
",Apoya a Demandante,20
49,129,2025-02-12T04:00:00.000Z,Población Indígena-Campesina,"Despojo de tierras ancestrales.
- Contaminación del agua por actividades extractivas.
- Pérdida de medios de subsistencia agrícola.","- Respeto a derechos territoriales y autodeterminación.
- Acceso garantizado a agua limpia y tierras fértiles.
- Protección de prácticas culturales y ambientales.","- Desplazamiento forzado o marginación.
- Extinción de su cultura y ecosistemas vitales.","- Movilizaciones masivas y bloqueos de carreteras.
- Acciones legales contra concesiones mineras/hidrocarburíferas.
- Alianzas con ONG internacionales.","- Negociar con el GOBCEN mediante mesas de diálogo.
- Radicalizar la resistencia con apoyo de organizaciones sociales.
",Demandante,20
50,129,2025-02-12T04:00:00.000Z,Campesinos y Pequeños Agricultores,"Competencia por tierras con corporaciones, escasez hídrica, baja producción de alimentos.","Acceso a créditos agrícolas, redistribución equitativa de tierras, infraestructura rural.","Desplazamiento por agroindustria, dependencia de importaciones, pobreza rural.","Bloqueos de carreteras, creación de cooperativas autogestionadas, diálogo con líderes urbanos.","Unirse a protestas indígenas, exigir subsidios estatales, diversificar cultivos.
",Demandante,20
51,129,2025-02-12T04:00:00.000Z,Población Urbana (Consumidores),"Escasez y precios elevados de alimentos/agua, contaminación en ciudades.","Estabilidad en suministros, regulación de precios, calidad ambiental urbana.","Crisis económica, colapso de servicios básicos, conflictos sociales generalizados.","Manifestaciones en ciudades, boicot a empresas contaminantes, presión mediática.","Organizar redes de abastecimiento local, apoyar demandas rurales, exigir transparencia al GOBCEN.",Demandante,25
52,129,2025-02-12T04:00:00.000Z,Activistas Socio-Ambientales,"Impacto de minería/hidrocarburos en biodiversidad, violación de derechos humanos.","Transición energética justa, auditorías ambientales, moratoria a proyectos extractivos.","Criminalización, represión estatal, greenwashing gubernamental.","Campañas en redes globales, desobediencia civil, informes científicos.","Crear tribunales simbólicos, alianzas con medios independientes, formar brigadas de monitoreo.",Demandante,20
53,129,2025-02-12T04:00:00.000Z,GOBCEN-Gobierno Central,Presión entre desarrollo económico (extractivismo) y demandas sociales.,"Mantener ingresos estatales (hidrocarburos/minería), estabilidad política, inversión extranjera.","Debilitamiento institucional, sanciones internacionales, levantamientos masivos.","Negociar parcialmente con líderes, militarizar zonas conflictivas, reformas legales pro-extractivistas.","Ofrecer mesas de diálogo selectivas, reactivar proyectos de “economía mixta”, acusar a opositores de sabotaje.",Demandado,80
54,129,1899-11-30T04:32:36.000Z,Central Obrera Boliviana,"Resistencia social a proyectos, costos por regulaciones ambientales.","Ampliar concesiones, reducir conflictos, optimizar ganancias.","Nacionalización de recursos, pérdida de mercados internacionales, desprestigio global.","Financiar campañas estatales, ofrecer compensaciones a comunidades, litigar contra protestas.","Apostar a tecnología “minería verde”, cooptar líderes locales

Desestabilizar las acciones que vayan contra la institución",Apoya a Demandado,60
55,129,2025-02-12T04:00:00.000Z,Sectores Agroindustriales,Expansión de la frontera agrícola vs. territorios indígenas/campesinos.,"Aumentar exportaciones (soja, ganado), flexibilizar leyes de tierras.","Reforma agraria, sanciones por deforestación, boicots internacionales.","Lobby en el Congreso, alianzas con transnacionales, campañas pro-“desarrollo rural”.","Negociar acuerdos privados con comunidades, diversificar mercados, reducir visibilidad en conflictos.",Demandante,25
56,129,2025-02-12T04:00:00.000Z,Organizaciones Internacionales y ONGs,"Violación de derechos ambientales y humanos, crisis climática.","Mediación neutral, cumplimiento de acuerdos internacionales (ej. Acuerdo de Escazú).","Irrelevancia en negociaciones, escalada violenta, expulsión del país.","Informes técnicos a la ONU, financiar proyectos locales, facilitar diálogos multilaterales.","Presionar con amenazas de sanciones, visibilizar el caso en foros globales, capacitar a actores locales.

",Demandante,25
57,129,2025-02-12T04:00:00.000Z,Gobiernos Autonómicos Departamentales/Locales,Tensión entre lealtad al GOBCEN y demanda ciudadana.,"Autogestión de recursos, inversión local, evitar desestabilización.","Recentralización del poder, pérdida de apoyos electorales, conflicto abierto con comunidades.","Legislar normativas ambientales propias, mediación simbólica, exigir mayores competencias.","Activar mecanismos de consulta popular, distanciarse retóricamente del GOBCEN, buscar financiamiento externo.",Apoya a Demandante,60
66,133,2025-05-02T04:00:00.000Z,Pobladores del Plan 3000,"- Inseguridad ciudadana (robos, violencia, narcotráfico).
- Percepción de abandono institucional en la protección de derechos básicos.
- Polarización política: desconfianza en las autoridades por supuesta parcialización partidista.","- Garantizar seguridad física y protección de sus familias.
- Acceso a políticas públicas efectivas (policiales, sociales, económicas).
- Participación en la toma de decisiones locales.
","-Aumento de la violencia y pérdida de control territorial.
- Represión estatal o criminalización de sus protestas.
- Continuidad del desinterés gubernamental.
","- Organizar protestas y bloqueos para presionar al gobierno.
- Crear comités vecinales de autodefensa.
- Alianzas con medios de comunicación y ONG para visibilizar el conflicto","- Negociar con el gobierno local bajo mediación neutral.
- Radicalizar las movilizaciones para exigir atención nacional.
- Buscar apoyo internacional para denunciar la crisis.",Demandante,50
67,133,2025-05-02T04:00:00.000Z,Gobierno Autónomo Municipal de Santa Cruz,"- Crisis de legitimidad por incapacidad para garantizar seguridad.
- Acusaciones de politizar la gestión pública (favoritismo partidista).
- Presión social por resultados inmediatos en políticas de seguridad.","- Mantener el orden público y estabilidad política.
- Recuperar confianza ciudadana para asegurar gobernabilidad.
- Preservar imagen institucional ante actores nacionales e internacionales.","- Estallido social y violencia generalizada.
- Pérdida de apoyo electoral o intervención del gobierno nacional.
- Crisis fiscal por desvío de recursos a seguridad.
","- Reforzar presencia policial y militar en zonas críticas.
- Lanzar programas sociales focalizados (empleo juvenil, prevención de violencia).
- Criminalizar a líderes sociales para desarticular protestas.
","- Diálogo con líderes comunitarios para acuerdos parciales.
- Solicitar apoyo logístico al gobierno nacional.
- Ignorar las demandas y apostar a desgaste de las protestas.
",Demandado,60
68,133,2025-05-02T04:00:00.000Z,Policía y Fuerzas de Seguridad,"- Falta de recursos y capacitación para enfrentar crimen organizado.
- Presión política para actuar, pero sin claridad en estrategias.

","- Proteger a la población sin exceder su mandato.
- Evitar enfrentamientos violentos con civiles.
","- Ataques de grupos criminales o represalias.
- Ser utilizados como chivo expiatorio por fracasos institucionales.
","- Coordinar operativos con inteligencia ciudadana.
- Negarse a actuar sin garantías de respaldo institucional.
","- Mantener presencia simbólica en zonas conflictivas.
- Priorizar la autoprotección sobre la intervención.
",Apoya a Demandado,30
69,133,2025-05-02T04:00:00.000Z,Partidos Políticos Opositores,"- Utilizar el conflicto para desprestigiar al gobierno municipal.
- Falta de propuestas concretas para resolver la crisis.
","- Capitalizar el descontento para ganar apoyo electoral.
- Evitar asociarse con la violencia para no perder legitimidad.
","- Que el conflicto se radicalice y genere caos incontrolable.
- Pérdida de credibilidad si no ofrecen soluciones.
","- Promover debates públicos sobre seguridad.
- Presionar al gobierno nacional a intervenir.
","- Apoyar tibiamente a los manifestantes sin comprometerse.
- Esperar a que el gobierno municipal se debilite.
",Demandante,10
70,133,2025-05-02T04:00:00.000Z,Organizaciones de Derechos Humanos y ONG,"- Riesgo de violaciones a derechos en operativos policiales.
- Limitado acceso a información oficial para documentar abusos.

","- Proteger a la población vulnerable.
- Exigir transparencia en la gestión de la seguridad.
","- Represión contra defensores locales.
- Que el conflicto derive en violencia masiva.
","- Emitir informes internacionales sobre la crisis.
- Brindar asesoría legal a los pobladores.
","- Mediar en espacios de diálogo con actores clave.
- Denunciar la situación ante organismos internacionales.
",Demandante,40
71,133,2025-05-02T04:00:00.000Z,Gobierno Nacional,"- Presión para intervenir sin violar la autonomía municipal.
- Riesgo de que el conflicto se extienda a otras regiones.

","- Evitar una crisis nacional de gobernabilidad.
- Mantener alianzas políticas con actores locales clave.
","- Que el conflicto afecte la imagen internacional del país.
- Radicalización de grupos sociales o políticos.
","- Enviar fuerzas nacionales para ""pacificar"" la zona.
- Ofrecer fondos condicionados a acuerdos locales.
","- Mantener una postura observadora.
- Presionar discretamente al gobierno municipal a negociar.
",Demandado,80
72,134,2025-05-02T04:00:00.000Z,Colegio Médico,"- Salarios insuficientes y precarización laboral.
- Falta de insumos médicos y equipos en hospitales públicos.
","- Mejorar condiciones laborales y salariales.
- Garantizar acceso a recursos médicos básicos.
","- Privatización encubierta del sistema público de salud.
- Colapso del sistema por falta de inversión.
","- Huelgas y paros nacionales.
- Campañas mediáticas para presionar al gobierno.
","- Negociar con el gobierno bajo condiciones claras.
- Radicalizar medidas de protesta si no hay avances.
",Demandante,60
73,134,2025-05-02T04:00:00.000Z,Sindicato de Enfermería,"- Sobrecarga laboral y falta de personal.
- Exclusión en decisiones políticas del sector.
","- Contratación de más profesionales y mejor formación.
- Participación en políticas de salud pública.
","- Aumento de enfermedades por desatención a pacientes.
- Desgaste físico y mental del personal.
","- Movilizaciones focalizadas en hospitales clave.
- Alianzas con otros gremios para fortalecer presión.
","- Dialogar con autoridades locales (municipios) para soluciones inmediatas.
- Exigir auditorías internacionales al sistema de salud.
",Demandante,40
74,134,2025-05-02T04:00:00.000Z,Trabajadores de Salud,"- Contratos temporales sin beneficios sociales.
- Exposición a riesgos laborales sin protección.
","- Estabilidad laboral y acceso a seguridad social.
- Equipos de protección adecuados.
","- Despidos masivos por recortes presupuestarios.
- Aumento de conflictos internos por desigualdades.
","- Bloqueos de accesos a instituciones públicas.
- Denuncias ante organismos internacionales (OIT, OPS).
","- Unirse a las protestas de otros gremios.
- Buscar apoyo de ONGs para mediación.
",Demandante,50
75,134,2025-05-02T04:00:00.000Z,Ministerio de Salud,"- Presión por reducir el déficit fiscal en salud.
- Crisis de credibilidad por denuncias de corrupción.
","- Mantener estabilidad económica del país.
- Evitar el colapso total del sistema de salud.
","- Protestas generalizadas que deriven en crisis política.
- Sanciones internacionales por violación de derechos laborales.
","- Ofrecer aumentos salariales parciales.
- Usar fuerzas de seguridad para controlar protestas.
","- Diálogo multilateral con todos los gremios.
- Aprobar reformas legales para flexibilizar contrataciones.
",Demandado,80
76,134,2025-05-02T04:00:00.000Z,Gobierno Autonomo Departamental de Santa Cruz,"- Limitación de recursos transferidos por el gobierno central.
- Presión local por mejorar hospitales regionales.
","- Evitar descontento social en sus regiones.
- Gestionar fondos de manera eficiente.
","- Pérdida de apoyo político en elecciones regionales.
- Conflictos entre gremios y autoridades locales.
","- Buscar financiamiento externo (créditos, cooperación).
- Mediar entre el gobierno central y los gremios.
","- Priorizar áreas críticas con recursos disponibles.
- Exigir mayor autonomía presupuestaria al gobierno central.
",Demandado,60
