idconvenioseguimiento,idconveniopunto,fechasegconv,estado,fuente,referenciafuente,datoscontacto,seguimientocumplimiento,observaciones
18,19,2025-12-29T04:00:00.000Z,CONCLUIDO,informe MDPRyA,https://produccion.gob.bo/index.php/nota_prensa/gobierno-y-gremiales-acuerdan-mesas-tecnicas-para-reestructurar-la-economia-y-modernizar-el-sistema-impositivo-en-el-pais/,https://produccion.gob.bo/index.php/nota_prensa/gobierno-y-gremiales-acuerdan-mesas-tecnicas-para-reestructurar-la-economia-y-modernizar-el-sistema-impositivo-en-el-pais/,"Con el objetivo de estabilizar la economía y promover la paz social, el Ministro de Desarrollo Productivo, Óscar Mario Justiniano, junto al Ministro de Economía y Finanzas Públicas, José Gabriel Espinoza, sostuvieron este lunes una reunión con gremiales en Santa Cruz, en la misma se acordó el inicio de mesas de trabajo en torno al Decreto Supremo 5503 y Sistema Integrado Especial de Transición para Emprendedores al Régimen General. Esta medida busca beneficiar de manera directa a gremiales, comerciantes, transportistas, artesanos y productores, dejando atrás modelos económicos agotados e inquisitivos.

Durante su intervención, el Ministro Justiniano enfatizó que el objetivo central del Gobierno es la reconstrucción de una economía que fue recibida en condiciones críticas. «Estamos dando señales de avance por instrucción del presidente Rodrigo Paz, este decreto es una herramienta para reestructurar el país de la mano de quienes producen. Reitero nuevamente el agradecimiento por estos espacios de diálogo como tiene que ser, no con marcha, no con bloqueo, no con intereses políticos para llevar y arrastrar nuevamente a esas viejas prácticas corruptas. Ahora, todos estamos con una visión distinta, la cual es de construcción en beneficio de la patria», afirmó la autoridad.

Justiniano destacó que el nuevo enfoque busca crear un sistema impositivo adecuado y no inquisitivo, eliminando prácticas de extorsión al contribuyente que caracterizaron gestiones pasadas.

Por su parte el ministro de Economía y Finanzas Públicas, José Gabriel Espinoza, señaló que se analizan una serie de medidas en favor del sector gremial, que van desde la posibilidad del perdonazo tributario, medidas aduaneras, y la tributación electrónica, entre otros puntos los cuales están enfocados en cambiar el rumbo de la economía del país.

A su turno el máximo ejecutivo de la Confederación de Gremiales, Cesar Gonzales, calificó el encuentro como un momento histórico tras 20 años de conflictos por temas impositivos y facturación electrónica.

«El Decreto 5503 es una salvaguarda para el trabajador por cuenta propia. Por primera vez en décadas, tenemos las puertas abiertas para construir soluciones en lugar de estar en las calles», señaló el dirigente nacional.

Críticas a la dirigencia de la COB

Al ser consultado sobre las movilizaciones de la Central Obrera Boliviana (COB), el Ministro Oscar Mario Justiniano lamentó que ciertas dirigencias sigan «atadas al pasado» e influenciadas por actores que dañaron la economía.

«Me hubiera encantado ver a la COB marchar cuando el transporte esperaba siete días por combustible o cuando los productores no podían llegar al mercado. En ese entonces callaron», cuestionó el Ministro, reafirmando que el camino del Gobierno será el diálogo y no la confrontación política.",
19,20,2025-12-29T04:00:00.000Z,CONCLUIDO,,,,"1. Reunión de Alto Nivel
El Ministro de Desarrollo Productivo, Rural y Agua, Óscar Mario Justiniano, junto a los viceministros Gustavo Serrano y Ernesto Justiniano, se reunió con productores interculturales y organizaciones sociales del municipio para establecer directrices de desarrollo y escuchar demandas locales.

2. Atención a Desastres Naturales (Riadas)
Uno de los temas más urgentes fue la afectación por las recientes riadas que dañaron cultivos y caminos vecinales. El Ministro se comprometió a:

Canalizar recursos: Activar mecanismos para la reparación inmediata de rutas críticas para sacar la producción.

Manejo de cuencas: Realizar trabajos técnicos para ""enderezar"" el cauce del río y prevenir futuros desbordes que afecten la transitabilidad y la producción.

3. Socialización del DS 5503 y Tecnificación
A diferencia de las protestas en otras regiones, en Yapacaní el diálogo se centró en la industrialización y la tecnificación:

Se discutió cómo el sector puede aprovechar el arancel cero para importar maquinaria que mejore su productividad.

El Gobierno ofreció apoyo para identificar productos con potencial de exportación y facilitar su acceso a nuevos mercados.

4. Clima de Unidad
El alcalde de Yapacaní, Juan Carlos Valles, destacó que el municipio ""no necesita peleas, necesita unidad y desarrollo"", validando la presencia de las autoridades nacionales como una señal de certidumbre para el sector agropecuario de la zona.",
20,21,2026-01-09T04:00:00.000Z,EN PROCESO,informe MDPRyA gemini,informe MDPRyA,informe MDPRyA,Inicio de las obras de bacheo y mantenimiento de las rutas vecinales críticas afectadas por las lluvias.,
21,25,2026-01-09T04:00:00.000Z,CONCLUIDO,,,,"se analizó la estructura de precios junto a productores, frigoríficos y comercializadores, con el fin de transparentar los costos y ofrecer a la población información clara.
reafirmó su compromiso de seguir construyendo soluciones a través del diálogo, priorizando el abastecimiento seguro y la protección de la economía de las familias bolivianas.",
22,26,,CONCLUIDO,,,GOBIERNO AUTONOMO MUNICIPAL DE COROICO; GOBIERNO AUTONOMO MUNICIPAL DE CORIPATA,,
23,27,2026-06-12T14:00:00.000Z,CONCLUIDO,ACTA DE REUNION,ACTA DE REUNIÓN 12 de junio de 2026,MUJERES CAMPESINAS BARTOLINA SISA; ALCALDE DE INQUISIVI;MUNICIPIO DE CAJUATA; MUNICIPIO DE ICHOCA;MUNICIPIO DE QUIME;VILLA LIBERTAD LICOM;PROVINCA INQUISIVI,"SE HA PRIORIZADO LA ELABORACION DE EDTP CONSTRUCCIÓN SISTEMA DE RIEGO POR GOTEO LUJMANI (GAM CAJUATA)
SE HA REVISADO PROYECTO ""SISTEMA DE RIEGO SANTA ROSA"" GAM LICOMA PAMPA, EN PROCESO DE AJUSTE POR EL GAM.
ESTA EN PROCESO DE EVALUACION EDTP CONSTRUCCIÓN REPRESA VILLA ESPERANZA Y SISTEMA DE RIEGO TECNIFICADO DISTRITO II CIRCUATA (GAM CAJUATA).",ACTA DE REUNIÓN
24,28,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/18GdMqiaubRZrf8gRIDyBOg6kAaLTiGZv?usp=drive_link,GOBIERNO AUTONOMO MUNICIPAL DE ANCORAIMES; GOBIERNO AUTONOMO MUNICIPAL DE CHUA; GOBIERNO AUTONOMO MUNICIPAL CHUA COCANI; GOBIERNO AUTONOMO MUNICIPA HUARINA; GOBIERNO AUTONOMO MUNICIPAL DE HUATAJATA; GOBIERNO AUTONOMO MUNICIPAL DE SANTIAGO DE HUATA,"PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs.","LAS INSTITUCIONES PARTICIPANTES ACUERDAN FORTALECER LA COORDINACIÓN INTERINSTITUCIONAL PARA PROMOVER LA EJECUCIÓN DE PROYECTOS DE INFRAESTRUCTURA Y DESARROLLO SOCIAL EN LA PROVINCIA OMASUYOS, ASEGURANDO QUE LAS INTERVENCIONES RESPONDAN A LAS NECESIDADES DE LA POBLACIÓN Y SE DESARROLLEN CON LA PARTICIPACIÓN DE LAS COMUNIDADES INDÍGENA ORIGINARIO CAMPESINAS, LAS ORGANIZACIONES SOCIALES Y LA SOCIEDAD CIVIL."
25,29,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1VFg0ZMMxi0NpEzxHUCeWrxmiIdYDndcA?usp=drive_link,,"SE ESTA REALIZANDO LA COORDINACION CON EL MUNICIPIO.
SE PRIORIZO EL PROYECTO Y ESTA SIENDO INCORPORADO A UN NUEVO PROGRAMA INTEGRAL PARA LA PRODUCCION DE CULTIVO DE PAPA, SE ESTA TRABAJANDO EN LAS GESTIONES DEL PROGRAMA.",
26,30,2026-06-30T20:00:00.000Z,CONCLUIDO,ACTA DE REUNION,ACTA DE REUNIÓN DE 30 DE JUNIO DE 2026,"CRISTOBAL RIQUELME 71254910, JOSE LUIS TOLEDO GAM CAJUATA 76777183","SEGÚN LA BASE DE DATOS, NO EXISTEN NUEVAS SOLICITUDES DEL MUNICIPIO DE INQUISIVI, ACTUALMENTE EL MUNICIPIO ES BENEFICIADO CON UN PROYECTO EN LA FASE DE INVERISÓN EN EL PORGRAMA PRITEC.
EN FECHA 30 DE JUNIO SE TUVO REUNIÓN CON EL GAM CAJUATA INQUISIVI PARA EXPLICAR SOBRE LA GESTIÓN DE LOS PROYECTOS DE RIEGO MENOR.",ACTA DE REUNIÓN DE 30 DE JUNIO
27,31,,CONCLUIDO,ACTA DE REUNION,ACTA DE REUNIÓN,"ELIAS TRIGO 72852259, MARCELA JOFRE 69993694","SE HA PRIORIZADO LA ELABORACION DE EDTP CONSTRUCCIÓN SISTEMA DE RIEGO POR GOTEO LUJMANI (GAM CAJUATA)
SE HA REVISADO PROYECTO ""SISTEMA DE RIEGO SANTA ROSA"" GAM LICOMA PAMPA, EN PROCESO DE AJUSTE POR EL GAM.
ESTA EN PROCESO DE EVALUACION EDTP CONSTRUCCIÓN REPRESA VILLA ESPERANZA Y SISTEMA DE RIEGO TECNIFICADO DISTRITO II CIRCUATA (GAM CAJUATA). EN FECHA 30/06/26 SE SOSTUVO UNA REUNIÓN CON EL GAM CAJUATA, DONDE SE REVISÓ EL ESTADO ACTUAL DEL PROYECTO  “MEJORAMIENTO Y AMPLIACIÓN SISTEMA DE AGUA POTABLE AGUA RICA- CAJUATA”, EL CUAL CUMPLE CON LA NORMATIVA Y ESTÁ A LA ESPERA PARA SU FINANCIAMIENTO.
A LA FECHA SE ESTA A LA ESPERA DE UNA FUENTE DE FINANCIAMIENTO PARA EL PROYECTO. ",ACTAS DE REUNIÓN
28,32,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/18GdMqiaubRZrf8gRIDyBOg6kAaLTiGZv?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs.","LAS INSTITUCIONES PARTICIPANTES ACUERDAN FORTALECER LA COORDINACIÓN INTERINSTITUCIONAL PARA PROMOVER LA EJECUCIÓN DE PROYECTOS DE INFRAESTRUCTURA Y DESARROLLO SOCIAL EN LA PROVINCIA OMASUYOS, ASEGURANDO QUE LAS INTERVENCIONES RESPONDAN A LAS NECESIDADES DE LA POBLACIÓN Y SE DESARROLLEN CON LA PARTICIPACIÓN DE LAS COMUNIDADES INDÍGENA ORIGINARIO CAMPESINAS, LAS ORGANIZACIONES SOCIALES Y LA SOCIEDAD CIVIL."
29,33,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1R3ZKxSvumzUA8a4La3qLUm6SSfRdNWh0?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA DAR ATENCIÓN A SUS SOLICITUDES Y ORGANIZAN REUNIONES PARA DAR ATENCIÓN A SUS DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. ASI MISMO, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs.","LAS INSTITUCIONES PARTICIPANTES ACUERDAN FORTALECER LA COORDINACIÓN ENTRE EL MINISTERIO DE MEDIO AMBIENTE Y AGUA Y EL VICEMINISTERIO DE JUSTICIA INDÍGENA ORIGINARIA CAMPESINA Y COORDINACIÓN CON MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL, PARA IMPULSAR ACCIONES ORIENTADAS A LA PROTECCIÓN DE LOS RECURSOS HÍDRICOS Y DEL MEDIO AMBIENTE, PROMOVIENDO LA PARTICIPACIÓN ACTIVA DE LAS COMUNIDADES INDÍGENA ORIGINARIO CAMPESINAS Y LAS ORGANIZACIONES SOCIALES EN LA GESTIÓN AMBIENTAL Y EL DESARROLLO SOSTENIBLE DE LA PROVINCIA OMASUYOS."
30,34,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1tpTxX-qFv7l0YXTWE8uPMu72tDzxGV4a?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs.","LAS PARTES ACORDARON ESTABLECER UNA COORDINACIÓN PERMANENTE 
PARA IMPULSAR LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE AGUA, RIEGO Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS HÍDRICOS EN BENEFICIO DE LOS MUNICIPIOS Y COMUNIDADES DE LA PROVINCIA INGAVI."
31,35,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1tpTxX-qFv7l0YXTWE8uPMu72tDzxGV4a?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs.","SE BRINDARÁ ASISTENCIA TÉCNICA Y ORIENTACIÓN SOBRE LOS PROGRAMAS, REQUISITOS Y MECANISMOS DE FINANCIAMIENTO VIGENTES PARA LA FORMULACIÓN Y EJECUCIÓN DE PROYECTOS DEL SECTOR. POR SU PARTE, EL VICEMINISTERIO DE JUSTICIA INDÍGENA ORIGINARIA CAMPESINA Y COORDINACIÓN CON MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL FACILITARÁ LA ARTICULACIÓN CON LAS AUTORIDADES INDÍGENA ORIGINARIO CAMPESINAS, ORGANIZACIONES SOCIALES Y GOBIERNOS AUTÓNOMOS MUNICIPALES PARA LA IDENTIFICACIÓN Y PRIORIZACIÓN DE LAS DEMANDAS. LA PROVINCIA INGAVI SE COMPROMETE A COORDINAR LA ELABORACIÓN Y PRESENTACIÓN DE PROYECTOS TÉCNICAMENTE SUSTENTADOS, CON EL OBJETIVO DE MEJORAR EL ACCESO AL AGUA, FORTALECER LA GESTIÓN SOSTENIBLE DE LOS RECURSOS NATURALES Y CONTRIBUIR AL DESARROLLO INTEGRAL DE LA PROVINCIA. "
32,36,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1o03xMZZ8qabRyW-_tyZi25DP0oKnw5NB?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs.","EL VICEMINISTERIO DE RECURSOS HÍDRICOS Y RIEGO BRINDARÁ ASISTENCIA 
TÉCNICA Y ORIENTACIÓN SOBRE LOS PROGRAMAS, REQUISITOS Y MECANISMOS DE FINANCIAMIENTO DISPONIBLES PARA LA FORMULACIÓN Y EJECUCIÓN DE PROYECTOS DEL SECTOR, ASÍ COMO EL ACOMPAÑAMIENTO TÉCNICO CORRESPONDIENTE EN LAS ETAPAS DE EVALUACIÓN Y SEGUIMIENTO. POR SU PARTE, EL VICEMINISTERIO DE JUSTICIA INDÍGENA ORIGINARIA CAMPESINA Y COORDINACIÓN CON MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL FACILITARÁ LA ARTICULACIÓN CON LAS AUTORIDADES INDÍGENA ORIGINARIO CAMPESINAS, ORGANIZACIONES SOCIALES Y GOBIERNOS AUTÓNOMOS MUNICIPALES, PROMOVIENDO PROCESOS DE COORDINACIÓN, CONCERTACIÓN Y PRIORIZACIÓN PARTICIPATIVA DE LAS DEMANDAS TERRITORIALES. LA PROVINCIA AROMA SE COMPROMETE A CONSOLIDAR Y REMITIR LAS PROPUESTAS DE PROYECTOS PRIORIZADOS Y TÉCNICAMENTE SUSTENTADOS, CON EL OBJETIVO DE GESTIONAR SU IMPLEMENTACIÓN EN BENEFICIO DEL DESARROLLO INTEGRAL DE LA POBLACIÓN"
33,37,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1o03xMZZ8qabRyW-_tyZi25DP0oKnw5NB?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs.","FORTALECER LA ARTICULACIÓN ENTRE NIVELES DEL ESTADO Y ACTORES
 INSTITUCIONALES PARA LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA EN LOS ÁMBITOS DE VIVIENDA, INFRAESTRUCTURA, AGUA, RIEGO Y DESARROLLO PRODUCTIVO, CONSIDERANDO LAS NECESIDADES TERRITORIALES, LA SITUACIÓN ECONÓMICA Y LAS CARACTERÍSTICAS SOCIOCULTURALES DE LA POBLACIÓN DE LA PROVINCIA AROMA. "
34,38,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1a67T36GNC9OvsB1czqTaSH9NdfWflnn8?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs.","FORTALECER LA ARTICULACIÓN ENTRE NIVELES DEL ESTADO Y ACTORES
 INSTITUCIONALES PARA LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA EN LOS ÁMBITOS DE VIVIENDA, INFRAESTRUCTURA, AGUA, RIEGO Y DESARROLLO PRODUCTIVO, CONSIDERANDO LAS NECESIDADES TERRITORIALES, LA SITUACIÓN ECONÓMICA Y LAS CARACTERÍSTICAS SOCIOCULTURALES DE LA POBLACIÓN DE LA PROVINCIA LOS ANDES. "
35,39,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1a67T36GNC9OvsB1czqTaSH9NdfWflnn8?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs.","FORTALECER LA ARTICULACIÓN ENTRE NIVELES DEL ESTADO Y ACTORES
 INSTITUCIONALES PARA LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA EN LOS ÁMBITOS DE VIVIENDA, INFRAESTRUCTURA, AGUA, RIEGO Y DESARROLLO PRODUCTIVO, CONSIDERANDO LAS NECESIDADES TERRITORIALES, LA SITUACIÓN ECONÓMICA Y LAS CARACTERÍSTICAS SOCIOCULTURALES DE LA POBLACIÓN DE LA PROVINCIA LOS ANDES. "
